Texto,Fecha,Nombre Usuario,Fuente
,2023-10-09 17:51:51,liberalesargentinaok,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
"Son movidas, gana massa baja el dólar para que su campaña sea excelente",2023-10-10 12:56:51,franquiito.02,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
"Es totalmente lógico lo que dicen...pero a cuánto estaría si estuviesen los liberales o jxc??? A menos, seguro??? O lo hubiesen liberado y hoy estría a 3000?",2023-10-10 10:22:27,claudiogabrielvillafanie,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
"Lo mal que está Argentina en lo económico y social, es la herencia dejada por el gobierno corrupto de Mauricio Macri, difícil fue para el gobierno de Alberto Fernández, revertir en tan poco tiempo el desastre planificado por la derecha política y Empresarial Argentina.
Es de esperar que el Gobierno del Presidente Massa, pueda tomar las medidas económicas necesarias,  para corregir esta pesada situación que afecta al pueblo Argentino.",2023-10-10 15:27:40,jg.cuevasc020653,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
ah pero macri,2023-10-10 17:22:52,_scared_5,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
100% dee acuerdo,2023-10-09 20:32:34,fernando_taboas,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
Vergüenza es votar a milei....,2023-10-10 17:28:07,hora.vizueta,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
"1050, antes de que gane Alberto yo me agarraba de los pelos, era obvio lo que iba a pasar pero los K tiraron de la soga y ya se está por romperrr",2023-10-10 12:57:44,martin_zingoni,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
#MassaPresidente,2023-10-09 22:42:02,drgustavovaldez,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
Jajaja Jajaja,2023-10-10 17:48:10,daro.gonzalez,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
Un desastre,2023-10-10 03:46:35,silvina.harris,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
Ustedes dan vergüenza,2023-10-10 10:05:33,zarpadomal1959,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU
